pair_index,geometry_stratum,C_img_signed,C_pe_signed,C_text_signed,A_img,A_pe,A_visual,in_V50,in_V25,G_PRE_POST
224,END|medium|2to4,0.0501654744148,0.0421068514697,-0.0247481614351,0.0501654744148,0.0421068514697,0.800391389432,False,False,0.00631772726774
225,START|mild|2to4,0.0194283723831,0.00399904372171,0.0322751998901,0.0194283723831,0.00399904372171,0.253424657534,True,True,0.00699869543314
226,END|medium|2to4,0.0575376152992,-0.0791802019812,0.0248316079378,0.0575376152992,0.0791802019812,0.916829745597,False,False,0.00520666688681
227,START|medium|2to4,0.0442945957184,0.0194448286202,-0.0244899503887,0.0442945957184,0.0194448286202,0.588062622309,True,False,0.00104460120201
228,START|mild|lt2,0.0240851640701,-0.00932556646876,0.0176745913923,0.0240851640701,0.00932556646876,0.35518590998,True,False,-0.000228703022003
229,END|strong|2to4,-0.0125829577446,0.000951492693275,-0.0173005498946,0.0125829577446,0.000951492693275,0.150684931507,True,True,0.0060757920146
230,START|mild|lt2,0.00893747806549,0.0216968106106,-0.00199862569571,0.00893747806549,0.0216968106106,0.324853228963,True,False,-0.000983104109764
231,END|mild|lt2,0.0394529700279,0.0354154710658,0.00841792672873,0.0394529700279,0.0354154710658,0.702544031311,False,False,-0.00120181590319
232,START|mild|2to4,0.0343980193138,-0.0290614459664,0.0223770812154,0.0343980193138,0.0290614459664,0.615459882583,False,False,0.0057565048337
233,START|medium|2to4,0.0121114253998,0.0170205563772,-0.0276773050427,0.0121114253998,0.0170205563772,0.312133072407,True,True,0.00979191809893
234,START|mild|2to4,-0.0333008766174,0.0366101239342,-0.0199965238571,0.0333008766174,0.0366101239342,0.664383561644,False,False,0.00166323781013
235,END|mild|lt2,-0.0133776664734,-0.0255869766697,0.00745864212513,0.0133776664734,0.0255869766697,0.407045009785,False,False,0.00259679555893
236,START|mild|lt2,0.00921720266342,0.0440075139049,-0.0065690651536,0.00921720266342,0.0440075139049,0.499021526419,False,False,0.00227758288383
237,END|mild|2to4,0.0267714858055,0.0762867666781,-0.00633317232132,0.0267714858055,0.0762867666781,0.749510763209,False,False,0.00431436300278
238,START|mild|2to4,0.0554766654968,-0.0198082188144,-0.029457565397,0.0554766654968,0.0198082188144,0.632093933464,False,False,0.00171249359846
239,END|mild|lt2,0.000153958797455,0.0159671893343,0.0100583583117,0.000153958797455,0.0159671893343,0.172211350294,True,True,0.000203661620617
240,START|mild|lt2,0.0056956410408,-0.0195752731524,0.00864595174789,0.0056956410408,0.0195752731524,0.271037181996,True,True,-0.000846549868584
241,END|mild|2to4,-0.0158793330193,0.0152890428435,-0.00730714574456,0.0158793330193,0.0152890428435,0.329745596869,True,True,-0.000736892223358
242,END|mild|lt2,-0.00380605459213,-0.00575472088531,0.00141659751534,0.00380605459213,0.00575472088531,0.114481409002,True,True,-0.00103280693293
243,END|medium|2to4,0.0979071855545,0.029390122043,0.0201595872641,0.0979071855545,0.029390122043,0.772994129159,False,False,0.00416342169046
244,START|medium|lt2,0.0160979628563,0.0173324167263,0.00972903519869,0.0160979628563,0.0173324167263,0.351272015656,True,False,-0.00170050561428
