pair_id,source_shard,sample_id,original_side,zoom_band,k_start,k_end,available,full_height,signed_shift_start,M_TOP_PRE,M_TOP_MID,M_TOP_POST,M_BOT_PRE,M_BOT_MID,M_BOT_POST,G_PRE_MID,G_MID_POST,G_PRE_POST,content_asymmetry,in_balanced_subset
202,data/1_2024/shard-000477.tar,2107375,START,medium,38,154,192,448,-58.0,-0.00972943007946,0.0129404515028,0.0442660674453,0.0391365587711,0.00532903522253,0.000349566340446,0.0564774051309,0.0363050848246,0.0927824899554,0.004766904,True
203,data/1_2024/shard-000477.tar,2115375,START,mild,23,75,98,354,-26.0,0.00193707644939,0.00193694233894,0.00416871905327,0.00373356044292,0.00309570133686,0.00447553396225,0.000637724995613,0.000851944088936,0.00148966908455,0.006568268,True
204,data/1_2024/shard-000477.tar,2138503,END,mild,18,86,104,360,-34.0,0.00319324433804,0.00241005420685,0.00210128724575,0.00116480886936,0.00507742166519,0.00338710844517,-0.00469580292702,0.00138154625893,-0.00331425666809,0.023524003,False
205,data/1_2024/shard-000477.tar,2149375,END,mild,27,79,106,362,-26.0,0.00492458045483,0.00214990973473,0.00353416800499,0.00297407060862,0.00637146830559,0.00591062754393,-0.00617206841707,0.00184509903193,-0.00432696938515,0.014168378,False
206,data/1_2024/shard-000477.tar,2154503,END,medium,26,128,154,410,-51.0,-0.00089917331934,-0.00129541009665,-0.00148569047451,0.0015706717968,0.00197030603886,0.00370821356773,-0.000795871019363,-0.00192818790674,-0.00272405892611,0.001319386,True
207,data/1_2024/shard-000477.tar,2161503,END,medium,5,110,115,371,-52.5,0.0118669420481,0.0099373459816,0.0114086717367,0.00585553795099,0.000958368182182,-0.00126221030951,0.00296757370234,0.00369190424681,0.00665947794914,0.000886433,True
208,data/1_2024/shard-000477.tar,2172503,END,medium,33,94,127,383,-30.5,0.000713691115379,0.00261030718684,0.00180699303746,0.000683464109898,0.000515583902597,0.00171616300941,0.00206449627876,-0.00200389325619,6.06030225754e-05,0.002954796,True
209,data/1_2024/shard-000477.tar,2173503,START,medium,59,134,193,449,-37.5,-0.000360891222954,0.000362411141396,0.000887081027031,0.0032774657011,0.000866413116455,0.000369980931282,0.003134354949,0.00102110207081,0.00415545701981,0.004686782,True
210,data/1_2024/shard-000477.tar,2192503,END,medium,23,105,128,384,-41.0,0.000768758356571,0.0026008784771,0.00341546535492,0.00316415727139,0.00839504599571,0.00882738083601,-0.0033987686038,0.000382252037525,-0.00301651656628,0.00908339,False
211,data/1_2024/shard-000477.tar,2197375,START,medium,11,128,139,395,-58.5,-0.00381974130869,-0.000219628214836,-0.000628709793091,0.00521499663591,0.00185249745846,0.00239618122578,0.00696261227131,-0.000952765345573,0.00600984692574,0.013318591,False
212,data/1_2024/shard-000477.tar,2199503,END,mild,31,73,104,360,-21.0,0.00325091183186,0.00141409039497,0.00168830901384,0.000953167676926,0.00115302950144,0.00134088099003,-0.00200045853853,8.6136162281e-05,-0.00191432237625,0.010608017,False
213,data/1_2024/shard-000477.tar,2207503,END,mild,11,69,80,336,-29.0,-0.000228613615036,-0.000366792082787,0.000466771423817,0.00021106749773,-0.00168850272894,-0.00267192721367,0.00176139175892,0.00181698799133,0.00357837975025,0.00885658,False
214,data/1_2024/shard-000477.tar,2211375,END,mild,21,85,106,362,-32.0,0.00209765136242,0.00188592076302,0.00155983120203,0.00564683973789,0.00445152819157,0.00159805268049,0.000983580946922,0.00252738595009,0.00351096689701,0.027470767,False
215,data/1_2024/shard-000477.tar,2240503,START,mild,22,84,106,362,-31.0,6.49839639664e-05,0.00167725980282,0.00124431401491,0.00431023538113,0.00318045169115,0.00228162109852,0.00274205952883,0.000465884804726,0.00320794433355,7.3045e-05,True
216,data/1_2024/shard-000477.tar,2245503,START,mild,2,104,106,362,-51.0,0.0131985619664,0.0133834928274,0.0121332630515,0.00329720973969,0.00441428273916,0.00422675162554,-0.000932142138481,-0.00106269866228,-0.00199484080076,0.000126198,True
217,data/1_2024/shard-000477.tar,2256375,START,mild,1,105,106,362,-52.0,0.00304108858109,0.00295247137547,0.00559066236019,0.00414852797985,0.00651071220636,0.00872584432364,-0.00245080143213,0.000423058867455,-0.00202774256468,0.00945279,False
218,data/1_2024/shard-000477.tar,2269375,END,mild,11,74,85,341,-31.5,-0.00219024717808,0.00120151042938,0.00187001377344,0.00171995162964,0.00535937398672,0.00594179332256,-0.000247664749622,8.60840082169e-05,-0.000161580741405,0.008301347,True
219,data/1_2024/shard-000477.tar,2278375,END,mild,2,83,85,341,-40.5,0.00367030501366,6.12437725067e-05,0.000773698091507,0.00498077273369,0.00614860653877,0.00299261510372,-0.00477689504623,0.00386844575405,-0.000908449292183,0.00686533,True
